YEAR,NUMPREC,MFI_ELI,MFI_VLI,MFI_LI
2022,1,17800,29650,47450
2022,2,20350,33900,54200
2022,3,22900,38150,61000
2022,4,25400,42350,67750
2022,5,27450,45750,73200
2022,6,29500,49150,78600
2022,7,31500,52550,84050
2022,8,33550,55950,89450
2023,1,18850,31400,50250
2023,2,21550,35900,57400
2023,3,24250,40400,64600
2023,4,26900,44850,71750
2023,5,29100,48450,77500
2023,6,31250,52050,83250
2023,7,33400,55650,89000
2023,8,35550,59250,94750
2024,1,20250,33750,54000
2024,2,23150,38600,61700
2024,3,26050,43400,69400
2024,4,28900,48200,77100
2024,5,31250,52100,83300
2024,6,33550,55950,89450
2024,7,35850,59800,95650
2024,8,38150,63650,101800
